lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,alpha
# Adaptation terminated
# Step size = 0.270012
# Diagonal elements of inverse mass matrix:
# 0.000100163, 6.76743e-05, 6.93655e-05, 3.01255e-05, 3.4965e-05, 3.51349e-05, 3.56427e-05, 3.62159e-05, 3.00141e-05, 3.80831e-05, 3.42307e-05, 3.44508e-05, 3.47473e-05, 3.2651e-05, 2.37133e-05, 2.3712e-05, 2.10431e-05, 2.51543e-05, 2.33453e-05, 2.21661e-05, 2.6378e-05
-352161,0.900065,0.270012,4,15,0,352170,-3.08708,-2.52269,0.0305427,-0.0671275,-0.0141201,-0.000415269,-0.0261907,-0.00494833,-0.0516255,0.0657742,0.00315917,0.0135361,-0.000205987,0.00581988,-0.00849128,0.0320633,-0.0390841,0.00162769,-0.00486086,-0.0217018,-0.0234007,1.3572
-352167,0.847919,0.270012,4,15,0,352178,-3.06966,-2.51585,0.030188,-0.0544934,-0.0150893,-0.0110032,-0.0278571,0.00323053,-0.0624865,0.0567531,-0.00598833,0.0235194,-0.000311865,-0.00487797,-0.00727596,0.037017,-0.0324508,0.00189256,-0.00772592,-0.0188248,-0.0283779,1.3524
-352167,1,0.270012,4,15,0,352177,-3.07024,-2.51238,0.0301342,-0.0637384,-0.0177601,-0.0139321,-0.0285628,-0.00254994,-0.0456646,0.0601706,-0.00152136,0.0163792,0.00379241,0.0292769,-0.0109751,0.0152346,-0.0393429,-0.00313177,-0.00944213,-0.0266546,-0.0223754,1.35167
-352164,0.988674,0.270012,4,15,0,352182,-3.07993,-2.512,0.0302801,-0.053926,-0.012419,-0.0258118,-0.032688,0.0042043,-0.0447656,0.0624597,-0.00411327,0.0144755,0.000892699,0.023072,-0.0131731,0.0283744,-0.0397186,-0.00474175,-0.00772087,-0.0252709,-0.0223295,1.35365
-352165,0.947726,0.270012,4,15,0,352174,-3.08301,-2.51271,0.0303204,-0.0651302,-0.0179173,0.000501608,-0.0269996,-0.00961712,-0.067807,0.0637519,-0.00317045,0.0204616,0.00136631,0.00579508,-0.010841,0.0173422,-0.0346701,-0.00295569,-0.00815763,-0.0222924,-0.0272268,1.35419
-352169,0.778008,0.270012,4,15,0,352181,-3.09192,-2.52205,0.0304287,-0.0595298,-0.0255105,-0.0233278,-0.0355923,0.00952764,-0.0385804,0.0624103,-0.00708906,0.0169229,0.0113283,0.0097318,-0.0105791,0.0342311,-0.0384405,0.000743646,-0.00710681,-0.0230871,-0.0245663,1.35566
-352171,0.872023,0.270012,3,7,0,352181,-3.09216,-2.52182,0.0306932,-0.0641401,-0.0253562,-0.0199802,-0.0437136,0.0104645,-0.0413553,0.0579333,-0.00427597,0.0216505,0.0132276,0.00444459,-0.00783184,0.0300721,-0.0357178,-0.00169808,-0.00974638,-0.0216844,-0.0232338,1.35925
-352169,1,0.270012,4,15,0,352180,-3.09073,-2.52298,0.0305319,-0.0547515,-0.00697114,-0.00361317,-0.0164034,-0.01079,-0.0684034,0.0642001,-0.00307126,0.0143155,-0.00735153,0.0188564,-0.00894836,0.0260301,-0.0372589,0.00287629,-0.00656471,-0.0247564,-0.0264118,1.35706
-352172,0.961244,0.270012,4,15,0,352181,-3.07568,-2.51038,0.0302865,-0.0651915,-0.0253309,-0.01622,-0.0442319,0.00849623,-0.0385398,0.0606548,-0.00900702,0.0255023,0.0158252,0.00602194,-0.00890592,0.0263261,-0.0356362,-0.00421544,-0.0103882,-0.0192236,-0.0245014,1.35373
-352163,0.762746,0.270012,3,7,0,352184,-3.07942,-2.5153,0.0305554,-0.0609266,-0.018294,-0.0113019,-0.0179725,0.00696397,-0.0547896,0.055234,-0.00684509,0.0142399,0.00744734,0.00635014,-0.0102538,0.0260326,-0.0400662,0.00208829,-0.00865027,-0.0266034,-0.0286502,1.35738
-352159,0.994722,0.270012,4,15,0,352170,-3.08492,-2.51758,0.0302534,-0.0571996,-0.0142864,-0.0153957,-0.0412222,-0.00468444,-0.0566748,0.0653339,-0.000568148,0.0173917,-0.00268585,0.0145805,-0.00872055,0.0259365,-0.0310317,-0.00311176,-0.0081832,-0.019182,-0.0226697,1.35328
-352160,0.999539,0.270012,4,15,0,352165,-3.07336,-2.51162,0.0303326,-0.0617175,-0.0166809,-0.00886069,-0.0165681,0.00372165,-0.0511988,0.0570009,-0.005447,0.0185187,0.0082925,0.00740161,-0.009612,0.0278226,-0.041384,0.00215702,-0.00789829,-0.0255695,-0.0281062,1.35436
-352154,1,0.270012,3,7,0,352164,-3.07674,-2.50912,0.030108,-0.0601782,-0.0169972,-0.0136012,-0.0259901,-0.00105055,-0.0578445,0.0575759,0.000753082,0.0222322,-0.00145105,0.0129431,-0.012255,0.0233838,-0.0350876,0.000329175,-0.00713077,-0.0233343,-0.0245578,1.35132
-352163,0.595739,0.270012,3,7,0,352171,-3.06649,-2.51137,0.0301941,-0.0611675,-0.0115668,-0.00840007,-0.0237157,-0.0063546,-0.0595968,0.0562033,-0.00848118,0.0111108,0.00362076,-0.0012762,-0.0105244,0.0260661,-0.0372882,5.52567e-07,-0.00688273,-0.0292962,-0.0267261,1.35248
-352163,0.887117,0.270012,4,15,0,352172,-3.06947,-2.50904,0.0300142,-0.0591092,-0.0222687,-0.0152665,-0.0346511,0.00516484,-0.0472574,0.0657858,0.00238555,0.0260756,0.0029421,0.0250363,-0.009395,0.0267797,-0.0350141,-0.00230541,-0.0102727,-0.0151986,-0.0247989,1.35005
