# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = ModeloQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/sin_jer.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_3.json
# random
#   seed = 1973430025 (Default)
# output
#   file = /scratch/juandiaz/sinjer/sin_jer_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 b0a4f0db
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,alpha
# Adaptation terminated
# Step size = 0.267274
# Diagonal elements of inverse mass matrix:
# 0.00018828, 9.93915e-05, 8.11692e-05, 4.90669e-05, 5.0076e-05, 5.32697e-05, 5.51778e-05, 5.9236e-05, 5.00262e-05, 5.2293e-05, 5.22431e-05, 4.64494e-05, 4.78576e-05, 3.01989e-05, 2.80462e-05, 3.24298e-05, 3.12916e-05, 2.50562e-05
-210682,0.967706,0.267274,4,15,0,210693,-3.19266,-2.55031,0.0339981,-0.0784642,-0.031544,-0.0158229,-0.0333737,0.00257535,-0.043693,-0.000494343,0.0352775,0.008431,0.0283276,-0.0137635,0.0334376,-0.0267117,-0.00786254,-0.0109196,1.40492
-210682,0.803894,0.267274,4,15,0,210692,-3.17459,-2.53746,0.0337843,-0.0660327,-0.0330921,-0.0111166,-0.018114,-0.00974849,-0.0339063,0.0232696,0.0210533,0.0113231,0.00750364,-0.00305745,0.0405752,-0.0310186,-0.00283849,-0.0110071,1.40192
-210680,0.990705,0.267274,4,15,0,210691,-3.17231,-2.54184,0.0337699,-0.0708785,-0.0245642,-0.0133712,-0.0435068,-0.0108876,-0.041916,0.0133464,0.0193249,0.010557,0.0175426,-0.00749663,0.0286476,-0.0266671,-0.00552846,-0.0112496,1.40172
-210679,1,0.267274,4,15,0,210685,-3.18254,-2.53972,0.0338414,-0.0683532,-0.0315959,-0.0121221,-0.0290025,0.00408832,-0.0379482,0.0204862,0.0262119,0.00285474,0.0171768,-0.00750167,0.0436897,-0.0317524,-0.00542703,-0.00411026,1.40272
-210683,0.994332,0.267274,4,15,0,210689,-3.15171,-2.52359,0.0332077,-0.0652841,-0.0267623,-0.0156161,-0.0278536,0.000633222,-0.0329507,0.00174051,0.0108427,0.00686305,0.0118317,-0.00688846,0.0307008,-0.0302891,-0.00209518,-0.00662524,1.39386
-210682,0.950426,0.267274,4,15,0,210689,-3.16056,-2.52773,0.0334273,-0.0806186,-0.0304296,-0.0116363,-0.0222188,-0.00519388,-0.0408609,0.0189651,0.0310895,0.0159346,0.0223975,-0.00909115,0.0423157,-0.0283669,-0.00729615,-0.00736463,1.39692
-210683,0.993701,0.267274,4,15,0,210690,-3.20634,-2.56433,0.0345585,-0.0669265,-0.0296626,-0.0215071,-0.0358648,-0.00260327,-0.0330889,0.00968948,0.012121,-0.00276822,0.0173945,-0.00619155,0.0380011,-0.0376275,-0.0018838,-0.00301118,1.41282
-210680,0.986846,0.267274,4,15,0,210690,-3.20936,-2.55849,0.0343986,-0.0688954,-0.0215072,-0.0139832,-0.0193182,-0.00126875,-0.0270291,0.0100135,0.0213755,-0.0040946,0.0140259,-0.00627686,0.0385982,-0.0289105,-0.00200285,-0.010502,1.41056
-210677,1,0.267274,4,15,0,210683,-3.19671,-2.55325,0.033996,-0.077923,-0.0366934,-0.0201201,-0.0387021,-0.00497836,-0.0415009,0.0166738,0.0255971,0.00914236,0.0202527,-0.00776204,0.0309441,-0.0271567,-0.00699802,-0.00361527,1.40489
-210679,0.973122,0.267274,4,15,0,210682,-3.19659,-2.54601,0.0340213,-0.066879,-0.0246644,-0.0116178,-0.0194474,-0.00479855,-0.0284896,0.00636019,0.0230743,-0.00392893,0.0168613,-0.00565463,0.0390384,-0.0288778,-0.00193449,-0.0098857,1.40525
-210679,0.781122,0.267274,4,15,0,210692,-3.17332,-2.5355,0.0335411,-0.0831813,-0.0339103,-0.0201879,-0.0386163,-0.00435448,-0.0429109,0.0185079,0.023265,0.0114396,0.0174342,-0.00789019,0.030955,-0.0263535,-0.00561254,-0.00398413,1.39851
-210680,0.865128,0.267274,4,15,0,210692,-3.20024,-2.55359,0.0342056,-0.0669881,-0.0254713,-0.00975915,-0.02845,-0.00104889,-0.0424898,0.00463663,0.0322546,0.00656829,0.0235843,-0.00293858,0.0384992,-0.0300603,-0.00331723,-0.0149369,1.40784
-210681,0.958638,0.267274,4,15,0,210692,-3.18507,-2.5434,0.0337188,-0.078134,-0.0296572,-0.0200177,-0.0301549,-0.009046,-0.0268694,0.0236497,0.0134604,0.00534413,0.00749659,-0.0108866,0.0317769,-0.0298094,-0.00738092,0.00138098,1.401
-210682,0.928881,0.267274,4,15,0,210691,-3.18554,-2.54727,0.0339009,-0.0665318,-0.0282977,-0.0101719,-0.0266908,-7.07147e-05,-0.0400869,0.00199522,0.0357006,0.00273051,0.02851,-0.00212836,0.0385991,-0.0256801,-0.000810488,-0.0149631,1.40356
-210682,0.999539,0.267274,4,15,0,210687,-3.17202,-2.5356,0.0334888,-0.0831475,-0.0304668,-0.0246327,-0.0283326,-0.00940471,-0.0280383,0.0208458,0.0111049,0.00833984,0.00992137,-0.0118198,0.0320495,-0.0301236,-0.00806062,0.000339416,1.39778
-210683,0.996306,0.267274,4,15,0,210691,-3.21191,-2.56278,0.0343863,-0.0651042,-0.0312614,-0.00855977,-0.0303108,-0.000471411,-0.0464398,0.0066654,0.0334338,0.00144965,0.0259901,-0.00669172,0.0412218,-0.0319605,-0.00608663,-0.0121238,1.41039
-210686,0.938483,0.267274,4,15,0,210692,-3.1738,-2.52889,0.0333676,-0.0821458,-0.0273801,-0.0192145,-0.0192474,-0.0115598,-0.0261091,0.023751,0.0202435,0.0112597,0.0101153,-0.000583898,0.0309825,-0.0233116,0.00360697,0.000325637,1.39609
-210684,0.934262,0.267274,4,15,0,210694,-3.15935,-2.5409,0.0335414,-0.0690707,-0.0399484,-0.0150298,-0.0382971,-0.00943971,-0.038238,0.00803167,0.0303207,-0.00136697,0.0270925,-0.00998935,0.041942,-0.0322036,-0.00867837,-0.0107862,1.39852
-210684,1,0.267274,4,15,0,210691,-3.2125,-2.57372,0.0345667,-0.0764875,-0.0204806,-0.0183304,-0.0231219,0.000943071,-0.0341346,0.0224674,0.0155356,0.00674143,0.00939051,-0.00373062,0.0284852,-0.0236959,-0.000386794,-0.00579831,1.41293
-210679,0.902937,0.267274,4,15,0,210690,-3.17064,-2.52976,0.0335692,-0.0759593,-0.0311933,-0.0138651,-0.0345573,-0.00847692,-0.0287323,0.0109394,0.0339776,-0.000931215,0.0179355,-0.00557347,0.0358294,-0.0274587,-0.00517491,-0.00735018,1.39891
-210678,0.995299,0.267274,4,15,0,210684,-3.19119,-2.54324,0.0336838,-0.0714744,-0.0260512,-0.0182609,-0.023028,-0.000680482,-0.0421073,0.0149991,0.0137367,0.0101369,0.0193806,-0.00896173,0.0345285,-0.0277199,-0.00423682,-0.00656616,1.40051
-210679,0.896024,0.267274,4,15,0,210684,-3.1961,-2.54611,0.0341935,-0.0767294,-0.034257,-0.013258,-0.0365901,-0.00792491,-0.0298058,0.0108052,0.0323643,0.00111096,0.0170224,-0.00502993,0.035928,-0.0267953,-0.00513574,-0.00727491,1.40767
